Season,Arsenal,Chelsea,Liverpool,Man City,Man United,Tottenham
1993-1994,62.0,41.0,53.0,33.0,76.0,36.0
1994-1995,43.0,41.0,58.0,41.0,74.0,52.0
1995-1996,63.0,50.0,71.0,38.0,82.0,61.0
1996-1997,68.0,59.0,68.0,0.0,75.0,46.0
1997-1998,78.0,63.0,65.0,0.0,77.0,44.0
1998-1999,78.0,75.0,54.0,0.0,79.0,47.0
1999-2000,73.0,65.0,67.0,0.0,91.0,53.0
2000-2001,70.0,61.0,69.0,34.0,80.0,49.0
2001-2002,87.0,64.0,80.0,0.0,77.0,50.0
2002-2003,78.0,67.0,64.0,51.0,83.0,50.0
2003-2004,90.0,79.0,60.0,41.0,75.0,45.0
2004-2005,83.0,95.0,58.0,52.0,77.0,52.0
2005-2006,67.0,91.0,82.0,43.0,83.0,65.0
2006-2007,68.0,83.0,68.0,42.0,89.0,60.0
2007-2008,83.0,85.0,76.0,55.0,87.0,46.0
2008-2009,72.0,83.0,86.0,50.0,90.0,51.0
2009-2010,75.0,86.0,63.0,67.0,85.0,70.0
2010-2011,68.0,71.0,58.0,71.0,80.0,62.0
2011-2012,70.0,64.0,52.0,89.0,89.0,69.0
2012-2013,73.0,75.0,61.0,78.0,89.0,72.0
2013-2014,79.0,82.0,84.0,86.0,64.0,69.0
2014-2015,75.0,87.0,62.0,79.0,70.0,64.0
2015-2016,71.0,50.0,60.0,66.0,66.0,70.0
2016-2017,75.0,93.0,76.0,78.0,69.0,86.0
2017-2018,63.0,70.0,75.0,100.0,81.0,77.0
2018-2019,70.0,72.0,97.0,98.0,66.0,71.0
2019-2020,56.0,66.0,99.0,81.0,66.0,59.0
2020-2021,61.0,67.0,69.0,86.0,74.0,62.0
2021-2022,69.0,74.0,92.0,93.0,58.0,71.0
2022-2023,84.0,44.0,67.0,89.0,75.0,60.0
2023-2024,89.0,63.0,82.0,91.0,60.0,66.0
2024-2025,67.0,63.0,82.0,64.0,39.0,38.0
